Field (Oe)	Resistance Ch1 (Ohms)	Resistance Std. Dev. Ch1 (Ohms)	Phase Angle Ch1 (deg)	AC Current Ch1 (mA)	2nd Harmonic Ch1 (dB)
10000.158203125	-0.09696659	-7.813959E-05	180.0666	1	-85.33377
9500.2548828125	-0.09710746	-6.77005E-06	180.0649	1	-85.96144
9000.53125	-0.09710212	-6.731503E-06	180.0649	1	-89.58663
8500.251953125	-0.09711116	-1.052492E-05	180.065	1	-88.01175
8000.4794921875	-0.09708327	-1.043808E-05	180.065	1	-87.84759
7500.6083984375	-0.0970943	-1.143247E-05	180.0646	1	-88.96531
7000.55859375	-0.09709717	-8.750512E-06	180.0672	1	-83.52127
6500.4423828125	-0.09716961	-6.295479E-05	180.0647	1	-90.1017
6000.48974609375	-0.09721977	-6.974809E-06	180.0654	1	-88.52913
5500.42333984375	-0.09723816	-0.0001676587	180.0657	1	-88.70432
5000.34033203125	-0.09708349	-6.072624E-06	180.0646	1	-93.4407
4500.2734375	-0.09704328	-5.340817E-06	180.0647	1	-87.56654
4000.158203125	-0.09696036	-0.0001027288	180.0638	1	-90.31727
3500.36889648438	-0.09687906	-7.299205E-06	180.0662	1	-84.15599
3000.1064453125	-0.09680759	-6.657363E-06	180.064	1	-87.94712
2500.431640625	-0.09671731	-6.365504E-06	180.0645	1	-89.71391
2000.20141601563	-0.09675203	-1.206028E-05	180.065	1	-86.33626
1500.44494628906	-0.09666923	-7.216249E-06	180.0645	1	-90.54244
1000.45989990234	-0.09664439	-5.478989E-06	180.0664	1	-85.27769
500.376922607422	-0.09669712	-7.508726E-06	180.0641	1	-90.48161
-0.0489829257130623	-0.09665333	-6.851243E-06	180.065	1	-85.10211
-500.180999755859	-0.09668285	-7.915597E-06	180.065	1	-89.44357
-1000.60693359375	-0.09666941	-4.534455E-06	180.0637	1	-88.11176
-1500.37963867188	-0.09647914	-0.0001476415	180.0644	1	-90.02164
-2000.46276855469	-0.09647341	-0.0001495491	180.0652	1	-86.64444
-2500.30078125	-0.09643405	-7.711316E-06	180.0646	1	-89.50676
-3000.43286132813	-0.09630635	-7.567834E-06	180.064	1	-89.05777
-3500.54858398438	-0.09620689	-6.623247E-06	180.0639	1	-90.57062
-4000.27221679688	-0.0960477	-6.646398E-06	180.065	1	-90.00191
-4500.14306640625	-0.09591034	-1.323142E-05	180.0667	1	-83.44445
-5000.19384765625	-0.09582547	-7.944205E-06	180.0651	1	-90.08672
-5500.30908203125	-0.09564463	-5.514168E-06	180.0666	1	-86.51915
-6000.16357421875	-0.09549735	-5.625269E-06	180.0649	1	-87.86563
-6500.41015625	-0.09527758	-9.064631E-05	180.0643	1	-92.4491
-7000.31298828125	-0.09512997	-1.447931E-05	180.0665	1	-84.0165
