Field (Oe)	Resistance Ch1 (Ohms)	Resistance Std. Dev. Ch1 (Ohms)	Phase Angle Ch1 (deg)	AC Current Ch1 (mA)	2nd Harmonic Ch1 (dB)
10000.56640625	-0.04012432	-2.021207E-05	180.0412	1	-77.21645
9500.22265625	-0.04004186	-4.341913E-06	180.041	1	-78.02535
9000.138671875	-0.03996534	-3.980405E-06	180.0411	1	-79.21428
8500.48046875	-0.03983098	-4.015406E-06	180.0383	1	-89.57012
8000.5283203125	-0.03976224	-3.464718E-06	180.0395	1	-80.35796
7500.39599609375	-0.03969458	-3.967508E-05	180.0383	1	-82.60512
7000.55859375	-0.03946819	-7.572666E-05	180.0384	1	-87.58522
6500.24658203125	-0.03939664	-2.004284E-05	180.0423	1	-77.69395
6000.52294921875	-0.03922379	-6.057297E-05	180.0387	1	-90.97642
5500.42333984375	-0.0391318	-3.188926E-05	180.0406	1	-80.33044
5000.455078125	-0.03907292	-3.343501E-06	180.0391	1	-81.83244
4500.2412109375	-0.03897395	-4.161956E-06	180.0383	1	-89.95012
4000.1416015625	-0.03891733	-4.34396E-06	180.0392	1	-83.56449
3500.14038085938	-0.03882556	-3.394113E-06	180.0403	1	-85.77003
3000.18798828125	-0.0387728	-4.289779E-06	180.0385	1	-88.72321
2500.33325195313	-0.03872844	-8.051293E-05	180.0405	1	-86.48843
2000.2177734375	-0.03864802	-4.284098E-06	180.037	1	-96.1005
1500.49401855469	-0.03860536	-2.327146E-05	180.0402	1	-82.70789
1000.47625732422	-0.03855681	-4.217404E-06	180.0384	1	-84.20845
500.458557128906	-0.03849014	-8.386694E-05	180.0397	1	-88.82802
0.195931702852249	-0.03845413	-3.236681E-05	180.0393	1	-83.73759
-500.344268798828	-0.03838326	-3.29137E-06	180.037	1	-88.17389
-1000.31298828125	-0.03834198	-3.876979E-06	180.0387	1	-100.6715
-1500.4287109375	-0.03830034	-3.199935E-06	180.0392	1	-89.45184
-2000.23413085938	-0.03823979	-4.183904E-06	180.0398	1	-87.97391
-2500.46411132813	-0.03820517	-4.031059E-06	180.0388	1	-80.87924
-3000.40014648438	-0.03814644	-3.822332E-06	180.041	1	-82.64751
-3500.10766601563	-0.03811207	-3.978397E-06	180.04	1	-87.4656
-4000.3212890625	-0.03806118	-3.777952E-06	180.0387	1	-90.3175
-4500.3388671875	-0.03802892	-3.865284E-06	180.0424	1	-80.06992
-5000.11181640625	-0.0379715	-3.788581E-06	180.0383	1	-87.70529
-5500.35791015625	-0.03793652	-1.093682E-05	180.0398	1	-90.22721
-6000.40869140625	-0.03790652	-8.427038E-06	180.043	1	-84.23131
-6500.36083984375	-0.0378488	-3.691192E-06	180.0392	1	-88.56675
-7000.427734375	-0.0378202	-3.681089E-06	180.0391	1	-86.31097
-7500.265625	-0.03776619	-4.007257E-06	180.0415	1	-86.18661
-8000.49560546875	-0.03773839	-3.661998E-06	180.0425	1	-78.51411
-8500.3662109375	-0.03770484	-2.996526E-06	180.0396	1	-82.79366
-9000.4169921875	-0.03765409	-8.28056E-06	180.0387	1	-87.9919
-9500.630859375	-0.03762457	-4.173267E-06	180.0435	1	-79.75259
-10000.501953125	-0.0375944	-4.22943E-06	180.0393	1	-86.33773
-10000.533203125	-0.03756698	-2.824307E-05	180.0383	1	-84.7737
-9500.6142578125	-0.03753237	-4.706995E-06	180.0424	1	-77.76138
-9000.4169921875	-0.03750267	-3.784305E-06	180.041	1	-82.99696
-8500.5458984375	-0.03747011	-3.69117E-06	180.0406	1	-87.28745
